U.S New Vehicle Sales 2011-2019,,,,,,,,,
Year,2011,2012,2013,2014,2015,2016,2017,2018,2019
New Vehicle Sales,"12,777,805","14,494,467","15,592,400","16,515,893","17,472,237","17,559,211","17,230,870","17,311,638","17,058,892"
