Crude Oil Price,,,,,,,,,,,,,,,,,,,,,,,,,
,Yearly AVG (USD),,,,,,,,,,,,,,,,,,,,,,,,
2011,95.17,,,,,,,,,,,,,,,,,,,,,,,,
2012,94.18,,,,,,,,,,,,,,,,,,,,,,,,
2013,98.07,,,,,,,,,,,,,,,,,,,,,,,,
2014,92.85,,,,,,,,,,,,,,,,,,,,,,,,
2015,48.83,,,,,,,,,,,,,,,,,,,,,,,,
2016,43.56,,,,,,,,,,,,,,,,,,,,,,,,
2017,50.89,,,,,,,,,,,,,,,,,,,,,,,,
2018,64.88,,,,,,,,,,,,,,,,,,,,,,,,
2019,57.05,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
