 U.S. Electric Charging Stations  ,,,,,,,,,,,,
 Year , Plugs ,,,,,,,,,,,
2011," 3,394 ",,,,,,,,,,,
2012," 13,392 ",,,,,,,,,,,
2013," 19,410 ",,,,,,,,,,,
2014," 25,602 ",,,,,,,,,,,
2015," 30,945 ",,,,,,,,,,,
2016," 42,029 ",,,,,,,,,,,
2017," 50,627 ",,,,,,,,,,,
2018," 61,067 ",,,,,,,,,,,
2019," 78,301 ",,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
